scf	minPos	maxPos	chr	length
scaffold870	0	999999999999	KL205572.1	204654
scaffold260	0	999999999999	KL205903.1	9796603
scaffold319	0	999999999999	KL206964.1	1562771
scaffold829	0	999999999999	KL206888.1	638415
scaffold406	0	999999999999	KL206630.1	4254606
scaffold813	0	999999999999	KL206062.1	1080972
scaffold305	0	999999999999	KL206556.1	7567319
scaffold242	0	999999999999	KL206028.1	3644376
scaffold220	0	999999999999	KL205757.1	6281126
scaffold965	0	999999999999	KL206384.1	297442
scaffold9	0	5655000	KL206993.1	6360297
scaffold549	0	999999999999	KL206890.1	2845332
scaffold109	0	999999999999	KL206853.1	1778888
scaffold68	0	999999999999	KL206825.1	5869911
scaffold297	0	999999999999	KL206685.1	361527
scaffold587	0	999999999999	KL206640.1	1095560
scaffold717	0	999999999999	KL206677.1	255196
scaffold144	0	999999999999	KL206234.1	484394
scaffold93	0	999999999999	KL206075.1	543046
scaffold113	0	999999999999	KL206068.1	458412
scaffold181	0	999999999999	KL205770.1	534204
scaffold110	0	999999999999	KL205700.1	433763
scaffold241	0	999999999999	KL205699.1	407701
scaffold189	0	999999999999	KL206971.1	278093
scaffold190	0	999999999999	KL205690.1	732659
scaffold396	0	999999999999	KL206487.1	293093
scaffold544	0	999999999999	KL206189.1	695669
scaffold146	0	999999999999	KL206451.1	1488098
scaffold574	0	999999999999	KL206147.1	596229
scaffold13	0	999999999999	KL206207.1	1570929
scaffold581	0	999999999999	KL205864.1	1506243
scaffold810	0	999999999999	KL205663.1	611856
scaffold744	0	999999999999	KL206215.1	387144
scaffold335	0	999999999999	KL206418.1	1878607
scaffold389	0	999999999999	KL206953.1	537466
scaffold147	0	999999999999	KL206614.1	223336
scaffold205	0	999999999999	KL206327.1	371372
scaffold951	0	999999999999	KL205721.1	252742
scaffold768	0	999999999999	KL206773.1	366964
scaffold149	0	999999999999	KL206979.1	4518185
scaffold630	0	999999999999	KL205733.1	1311126
scaffold469	0	999999999999	KL206942.1	561313
scaffold828	0	999999999999	KL206795.1	789724
scaffold265	0	999999999999	KL206350.1	472362
scaffold546	0	999999999999	KL206479.1	828980
scaffold1193	0	999999999999	KL206078.1	383682
